review,aspect,aspect_sentiment
well this dress was only about and you can tell it runs pretty small and the material is super thin and cheap i dont think i will be buying dresses anytime soon,material,NEGATIVE
to my surprise it fit like it was made for me my man was was texting me all the next day telling me how sexy i was this was a good purchase for me i was unsure at first because of the s m l sizing but it worked out for me,fit,POSITIVE
i purchased this ring and i was shocked how sophisticated it was not too big not too small but a little larger than medium and it is perfect for a mans handgreat piece of jewelry for a man,ring,POSITIVE
i purchased this ring and i was shocked how sophisticated it was not too big not too small but a little larger than medium and it is perfect for a mans handgreat piece of jewelry for a man,jewelry,POSITIVE
upon receiving the bracelet i immediately tried i on the length given is a little miss guiding as inches it is inches however that is the measurement from the end of the toggle to the edge of the other end once the toggle is in place it is a little shorter then anticipated i am happy that it fits my wrist it could have been a fraction longer it is very pretty and i certainly will be keeping it a tad longer and it would have rated stars,bracelet,POSITIVE
upon receiving the bracelet i immediately tried i on the length given is a little miss guiding as inches it is inches however that is the measurement from the end of the toggle to the edge of the other end once the toggle is in place it is a little shorter then anticipated i am happy that it fits my wrist it could have been a fraction longer it is very pretty and i certainly will be keeping it a tad longer and it would have rated stars,fit,POSITIVE
charm part is okay but i loved the chain took some patience but got off charm to wear alone much better will use charm on another thinner chain good buy and the vendor is excellent helpful with another product not this one,chain,POSITIVE
not so bright and not so good as it is on the picture but not bad the color is a bit fade so i am bit disappointed but as i mentioned not bad,color,NEGATIVE
i love these pants but they run small i had to order a size too big for them to fit,size,NEGATIVE
i love these pants but they run small i had to order a size too big for them to fit,fit,POSITIVE
i thought i would try a new shoe for work and went back to my new balance i have orthotics and they fit ok inside they did not seem any wider than normal shoes and my feet and knees hurt after work they are now my yard shoes and they are great for that if you need a true wide shoe i do not recommend these but if you have a normal width foot go for it they do have great support,shoe,POSITIVE
i thought i would try a new shoe for work and went back to my new balance i have orthotics and they fit ok inside they did not seem any wider than normal shoes and my feet and knees hurt after work they are now my yard shoes and they are great for that if you need a true wide shoe i do not recommend these but if you have a normal width foot go for it they do have great support,fit,POSITIVE
buy size up from yours bra looks great and feels very supportive very firm pretty lace keeps bosom from being too bouncy quite a bit like a push up bra very fast shipping bra is a little too warm for my taste some synthetic materials but it looks very nice,size,POSITIVE
buy size up from yours bra looks great and feels very supportive very firm pretty lace keeps bosom from being too bouncy quite a bit like a push up bra very fast shipping bra is a little too warm for my taste some synthetic materials but it looks very nice,material,NEGATIVE
cute heels that fit to size the only thing is that the back part of the strap rubbed against my ankle and caused a blister theyre average in comfort,heel,POSITIVE
cute heels that fit to size the only thing is that the back part of the strap rubbed against my ankle and caused a blister theyre average in comfort,size,NEGATIVE
cute heels that fit to size the only thing is that the back part of the strap rubbed against my ankle and caused a blister theyre average in comfort,fit,NEGATIVE
cute heels that fit to size the only thing is that the back part of the strap rubbed against my ankle and caused a blister theyre average in comfort,comfort,POSITIVE
ended up sending these back i love the shape and heighth of the boot but the heel is very fake looking and the color is an obscure brown not tan and not brown,heel,NEGATIVE
ended up sending these back i love the shape and heighth of the boot but the heel is very fake looking and the color is an obscure brown not tan and not brown,color,NEGATIVE
the shirt that started my love affair with allegra k very cute fit well and the small was true to size for me just barely came down below my bum but im foot,size,NEGATIVE
the shirt that started my love affair with allegra k very cute fit well and the small was true to size for me just barely came down below my bum but im foot,fit,NEGATIVE
great cotton large sock it is always hard to find my size amazon can find my large size in most things,size,POSITIVE
you get what you pay for if you are taking a chance on this like i did please go up a size and dry on low because believe me it will shrink majorly,size,NEGATIVE
this costume is a cute costume but very sexy you would definitely not wear this to a kids party i ordered the small because i normally wear a size in womens clothingim not a junior size i think this costume is more sized for teenagers because it was very small the skirt looked like a child size i would have to wear something underneath it the bustier is good quality but the cup size is too small for me i have to return it because i am busting out of the top and i wear a d overall the costume is nice but it just didnt fit me,size,NEGATIVE
this costume is a cute costume but very sexy you would definitely not wear this to a kids party i ordered the small because i normally wear a size in womens clothingim not a junior size i think this costume is more sized for teenagers because it was very small the skirt looked like a child size i would have to wear something underneath it the bustier is good quality but the cup size is too small for me i have to return it because i am busting out of the top and i wear a d overall the costume is nice but it just didnt fit me,fit,NEGATIVE
this costume is a cute costume but very sexy you would definitely not wear this to a kids party i ordered the small because i normally wear a size in womens clothingim not a junior size i think this costume is more sized for teenagers because it was very small the skirt looked like a child size i would have to wear something underneath it the bustier is good quality but the cup size is too small for me i have to return it because i am busting out of the top and i wear a d overall the costume is nice but it just didnt fit me,quality,POSITIVE
other reviews commented on the cut being too small im a curvy full figured gal and i found that the cut was perfect in the arms and chest but too tight in the stomach the length was great so thats a plus if you are lucky enough not to have extra padding around your mid section this will fit you great,fit,POSITIVE
thats how long it took me to decide to return these after i wore them considering these were just for one pair i was expecting luxury and comforting underwear and a more sensual fit i was wrong it may just be me but i personally do not like them,fit,NEGATIVE
thats how long it took me to decide to return these after i wore them considering these were just for one pair i was expecting luxury and comforting underwear and a more sensual fit i was wrong it may just be me but i personally do not like them,comfort,POSITIVE
thats how long it took me to decide to return these after i wore them considering these were just for one pair i was expecting luxury and comforting underwear and a more sensual fit i was wrong it may just be me but i personally do not like them,ring,POSITIVE
bought them for my mom cause she said she could not find this size where she lives she wears them only for church as i ordered the heels about a inch higher than she wanted she wears them anyway,heel,POSITIVE
bought them for my mom cause she said she could not find this size where she lives she wears them only for church as i ordered the heels about a inch higher than she wanted she wears them anyway,size,POSITIVE
i actually dont dislike the style of the shoe but it does run very large would have returned for a smaller size but after it was delivered i went into the hospital for a kidney transplant unexpectedly and by the time i was able to attend to it the return time expired i think it should have been listed as running large or at least if you fall in between sizes then size down very disappointed,style,NEGATIVE
i actually dont dislike the style of the shoe but it does run very large would have returned for a smaller size but after it was delivered i went into the hospital for a kidney transplant unexpectedly and by the time i was able to attend to it the return time expired i think it should have been listed as running large or at least if you fall in between sizes then size down very disappointed,size,NEGATIVE
i actually dont dislike the style of the shoe but it does run very large would have returned for a smaller size but after it was delivered i went into the hospital for a kidney transplant unexpectedly and by the time i was able to attend to it the return time expired i think it should have been listed as running large or at least if you fall in between sizes then size down very disappointed,shoe,NEGATIVE
i really like this watch it was perfect to pair with fun summery outfits during the warmer months and even now i like to wear it when i can i would have given it stars but when it arrived it didnt work at all i thought it just needed new batteries but it turned out it had to be completely cleaned out luckily the guy who sold me the batteries was able to do the cleaning for a reasonable price but if he hadnt told me i never would have known how to fix it myself,price,NEGATIVE
i really like this watch it was perfect to pair with fun summery outfits during the warmer months and even now i like to wear it when i can i would have given it stars but when it arrived it didnt work at all i thought it just needed new batteries but it turned out it had to be completely cleaned out luckily the guy who sold me the batteries was able to do the cleaning for a reasonable price but if he hadnt told me i never would have known how to fix it myself,fit,POSITIVE
i really like this watch it was perfect to pair with fun summery outfits during the warmer months and even now i like to wear it when i can i would have given it stars but when it arrived it didnt work at all i thought it just needed new batteries but it turned out it had to be completely cleaned out luckily the guy who sold me the batteries was able to do the cleaning for a reasonable price but if he hadnt told me i never would have known how to fix it myself,ring,POSITIVE
might be ok if it would fit the cups seem fine but the band size is way too small i normally wear a and even the here is too small also the straps are stupidly sewn the cushion ends at the top of your shoulder needs to have wide strap go down the back and the seam somewhere mid back,size,NEGATIVE
might be ok if it would fit the cups seem fine but the band size is way too small i normally wear a and even the here is too small also the straps are stupidly sewn the cushion ends at the top of your shoulder needs to have wide strap go down the back and the seam somewhere mid back,fit,POSITIVE
these shoes feel cheap and they fit one size too big they are very light and comfortable but not nice looking,shoe,NEGATIVE
these shoes feel cheap and they fit one size too big they are very light and comfortable but not nice looking,size,NEGATIVE
these shoes feel cheap and they fit one size too big they are very light and comfortable but not nice looking,fit,NEGATIVE
these shoes feel cheap and they fit one size too big they are very light and comfortable but not nice looking,comfort,POSITIVE
i wear my hightop chucks until they have holes everywhere so i know my size and style these were cheaper than the chucks on the converse website so i took a chance and am happy that i did they are the same ones i get every time perfect size perfect fit they are just as comfy as always needing only one doublesocked wear to break them in i love them,style,NEGATIVE
i wear my hightop chucks until they have holes everywhere so i know my size and style these were cheaper than the chucks on the converse website so i took a chance and am happy that i did they are the same ones i get every time perfect size perfect fit they are just as comfy as always needing only one doublesocked wear to break them in i love them,size,POSITIVE
i wear my hightop chucks until they have holes everywhere so i know my size and style these were cheaper than the chucks on the converse website so i took a chance and am happy that i did they are the same ones i get every time perfect size perfect fit they are just as comfy as always needing only one doublesocked wear to break them in i love them,fit,POSITIVE
not the same as whats pictured still okay though larger than expected and chains dont connect up top like pictured,chain,NEGATIVE
love these boy shorts fit me beautifully i am a size closer to an size and find these panties wonderful they even seem to keep their shape after wash and wear a couple of times thus far would buy again,size,NEGATIVE
love these boy shorts fit me beautifully i am a size closer to an size and find these panties wonderful they even seem to keep their shape after wash and wear a couple of times thus far would buy again,fit,POSITIVE
the picture makes them look much better than they are they looked like childrens earrings was not very happy with them,ring,NEGATIVE
i was tempted to rate this fit as somewhat big not because of they are loose necessarily but because theyre just bigger than what i was expecting in general i went with as expected becuase they are snug the way i like waist but the waistband rises fairly high and the legs drop fairly low not my style,style,NEGATIVE
i was tempted to rate this fit as somewhat big not because of they are loose necessarily but because theyre just bigger than what i was expecting in general i went with as expected becuase they are snug the way i like waist but the waistband rises fairly high and the legs drop fairly low not my style,fit,NEGATIVE
it is just what i expected for the low price adjustable with a plastic piece it was for a halloween costume and was perfect,price,NEGATIVE
i loved the watch it worked great and still does but the band turned green after three months i tried every cleaner imaginable and nothing worked to fix it i would to buy a white one again although i would buy the watch again just in a different color,color,POSITIVE
im a dd and always wear underwire currently i am in the last week of radiation treatment for breast cancer and my skin is very irritated in that area since im also still working i needed a very soft comfortable bra that shapes and supports enough throughout the day ive tried several different options and finally found the solution in this bra i just ordered another because i am sure i will continue wearing it even after my treatment is over,comfort,POSITIVE
im a dd and always wear underwire currently i am in the last week of radiation treatment for breast cancer and my skin is very irritated in that area since im also still working i needed a very soft comfortable bra that shapes and supports enough throughout the day ive tried several different options and finally found the solution in this bra i just ordered another because i am sure i will continue wearing it even after my treatment is over,ring,POSITIVE
these shoes are just adorable i normally wear a in open toed shoes and these were no exception buy them you wont be sorry,shoe,POSITIVE
im not sure how jms sized this i read the reviews saying it ran big so i ordered a size smaller unfortunately it was still way too big in the cups i would say the b that i ordered was more like a d after trying on c and d cups in similar bras its going back it is made well and it seems very comfortable otherwise,size,NEGATIVE
im not sure how jms sized this i read the reviews saying it ran big so i ordered a size smaller unfortunately it was still way too big in the cups i would say the b that i ordered was more like a d after trying on c and d cups in similar bras its going back it is made well and it seems very comfortable otherwise,comfort,POSITIVE
i did not like these jeans at all and returned them the fit the look the fabric none of it was good,fabric,NEGATIVE
i did not like these jeans at all and returned them the fit the look the fabric none of it was good,fit,POSITIVE
i wanted to love this shirt the color is beautiful but i am a bit on the larger size and the shirt is tight across the front and too long in the sleeves it is made totally to be tucked in with a button gathering it in the back which makes it fit like a gathered skirt in the larger size the shirt is also so long that it just looks sloppy on a larger person it would be good for the size through group i love the color but the fit is totally for very slim women,size,POSITIVE
i wanted to love this shirt the color is beautiful but i am a bit on the larger size and the shirt is tight across the front and too long in the sleeves it is made totally to be tucked in with a button gathering it in the back which makes it fit like a gathered skirt in the larger size the shirt is also so long that it just looks sloppy on a larger person it would be good for the size through group i love the color but the fit is totally for very slim women,color,POSITIVE
i wanted to love this shirt the color is beautiful but i am a bit on the larger size and the shirt is tight across the front and too long in the sleeves it is made totally to be tucked in with a button gathering it in the back which makes it fit like a gathered skirt in the larger size the shirt is also so long that it just looks sloppy on a larger person it would be good for the size through group i love the color but the fit is totally for very slim women,fit,POSITIVE
i wanted to love this shirt the color is beautiful but i am a bit on the larger size and the shirt is tight across the front and too long in the sleeves it is made totally to be tucked in with a button gathering it in the back which makes it fit like a gathered skirt in the larger size the shirt is also so long that it just looks sloppy on a larger person it would be good for the size through group i love the color but the fit is totally for very slim women,ring,NEGATIVE
i do not know what happened to the quality and sizing of levis s my husband is extremely picky about his jeans and only wears s the last two times we tried to buy a new set we were so disappointed with the quality and fit of his beloved number we picked several different washes thinking of course you dont need to try them on they will fit this was not the case each wash fitted differently and his usual waist size of was huge on him in these new jeans what is wrong with levis you cant change the fit of your jeans when people expect a certain standard for their number that they expect to fit perfectly but then they dont,size,POSITIVE
i do not know what happened to the quality and sizing of levis s my husband is extremely picky about his jeans and only wears s the last two times we tried to buy a new set we were so disappointed with the quality and fit of his beloved number we picked several different washes thinking of course you dont need to try them on they will fit this was not the case each wash fitted differently and his usual waist size of was huge on him in these new jeans what is wrong with levis you cant change the fit of your jeans when people expect a certain standard for their number that they expect to fit perfectly but then they dont,fit,POSITIVE
i do not know what happened to the quality and sizing of levis s my husband is extremely picky about his jeans and only wears s the last two times we tried to buy a new set we were so disappointed with the quality and fit of his beloved number we picked several different washes thinking of course you dont need to try them on they will fit this was not the case each wash fitted differently and his usual waist size of was huge on him in these new jeans what is wrong with levis you cant change the fit of your jeans when people expect a certain standard for their number that they expect to fit perfectly but then they dont,quality,POSITIVE
looks as if some people paid up to for this i paid around and i feel that is a fair price someone said something about it being a weird color it is black it is the same faux black leather look you are used to seeing with a nice black satin ribbon is this your regular victorian era corset that will withstand someone with their foot on a wall tightening you into it no it is a costume piece an accessory a decoration however it does support i matched the stats for a large size based on the chart so i got a large and it fits great i think you will find that this product looks just like it does in the photos one warning i have a d bust and i find it somewhat difficult to uh how should i say not trap them under this at least slightly so be aware if you have a larger bust that this will require more than little adjusting,price,POSITIVE
looks as if some people paid up to for this i paid around and i feel that is a fair price someone said something about it being a weird color it is black it is the same faux black leather look you are used to seeing with a nice black satin ribbon is this your regular victorian era corset that will withstand someone with their foot on a wall tightening you into it no it is a costume piece an accessory a decoration however it does support i matched the stats for a large size based on the chart so i got a large and it fits great i think you will find that this product looks just like it does in the photos one warning i have a d bust and i find it somewhat difficult to uh how should i say not trap them under this at least slightly so be aware if you have a larger bust that this will require more than little adjusting,size,POSITIVE
looks as if some people paid up to for this i paid around and i feel that is a fair price someone said something about it being a weird color it is black it is the same faux black leather look you are used to seeing with a nice black satin ribbon is this your regular victorian era corset that will withstand someone with their foot on a wall tightening you into it no it is a costume piece an accessory a decoration however it does support i matched the stats for a large size based on the chart so i got a large and it fits great i think you will find that this product looks just like it does in the photos one warning i have a d bust and i find it somewhat difficult to uh how should i say not trap them under this at least slightly so be aware if you have a larger bust that this will require more than little adjusting,color,NEGATIVE
looks as if some people paid up to for this i paid around and i feel that is a fair price someone said something about it being a weird color it is black it is the same faux black leather look you are used to seeing with a nice black satin ribbon is this your regular victorian era corset that will withstand someone with their foot on a wall tightening you into it no it is a costume piece an accessory a decoration however it does support i matched the stats for a large size based on the chart so i got a large and it fits great i think you will find that this product looks just like it does in the photos one warning i have a d bust and i find it somewhat difficult to uh how should i say not trap them under this at least slightly so be aware if you have a larger bust that this will require more than little adjusting,fit,POSITIVE
i love them and you can wear them year round i love the style love the comfort and relaxing,style,POSITIVE
i love them and you can wear them year round i love the style love the comfort and relaxing,comfort,POSITIVE
i like the wrap a lot the color is very pretty i must admit i have a hard time trying to figure out how it works when i ordered it i thought it was more like a dress but it is nice and will come in handy when im at the beach,color,POSITIVE
love the fact these never to be ironed true docker quality just in time for a midwinter cruise all mens slacks should be made this well,quality,POSITIVE
good fit but i wore it out while i was at a bar and dancing and it just kept falling down i had to keep going and fixing it it is very comfy and i love how it feels when i wear it because you cannot tell you have it on but i wish the top was a little more snug instead of streatchy s it wouldnt fall down,fit,POSITIVE
quality wise the shirt is fine and would definitely recommend carhartt products to everyone for me personally its just to short i like to be able to tuck my shirts in and i had of the waffle knit henleys in x tall in x that were both plenty long even after washing and drying this one however i did not put in the dryer and it was still to short after washing i hope carhartt will start putting item lenghts when listing their shirts to help me with my ordering i did by a x sweatshirt which is barely long enough i would have bought a x tall if it was available but i dont see that as being an option on any of their shirts or jackets,ring,NEGATIVE
quality wise the shirt is fine and would definitely recommend carhartt products to everyone for me personally its just to short i like to be able to tuck my shirts in and i had of the waffle knit henleys in x tall in x that were both plenty long even after washing and drying this one however i did not put in the dryer and it was still to short after washing i hope carhartt will start putting item lenghts when listing their shirts to help me with my ordering i did by a x sweatshirt which is barely long enough i would have bought a x tall if it was available but i dont see that as being an option on any of their shirts or jackets,quality,POSITIVE
i have to agree with some of the other reviewer comments regarding the decline in quality for levi jeans the material seems a lot thinner than the last pair of jeans i purchased besides the flimsy material the jeans didnt fit well either i have worn the same size jeans for the past several years i would swear the pair i just purchased on amazon was at least a size too big i ended up buying the size pair of lee jeans on amazon and they fit just right and the quality of material was a lot better lee jeans has a new customer,size,NEGATIVE
i have to agree with some of the other reviewer comments regarding the decline in quality for levi jeans the material seems a lot thinner than the last pair of jeans i purchased besides the flimsy material the jeans didnt fit well either i have worn the same size jeans for the past several years i would swear the pair i just purchased on amazon was at least a size too big i ended up buying the size pair of lee jeans on amazon and they fit just right and the quality of material was a lot better lee jeans has a new customer,quality,NEGATIVE
i have to agree with some of the other reviewer comments regarding the decline in quality for levi jeans the material seems a lot thinner than the last pair of jeans i purchased besides the flimsy material the jeans didnt fit well either i have worn the same size jeans for the past several years i would swear the pair i just purchased on amazon was at least a size too big i ended up buying the size pair of lee jeans on amazon and they fit just right and the quality of material was a lot better lee jeans has a new customer,fit,NEGATIVE
i have to agree with some of the other reviewer comments regarding the decline in quality for levi jeans the material seems a lot thinner than the last pair of jeans i purchased besides the flimsy material the jeans didnt fit well either i have worn the same size jeans for the past several years i would swear the pair i just purchased on amazon was at least a size too big i ended up buying the size pair of lee jeans on amazon and they fit just right and the quality of material was a lot better lee jeans has a new customer,material,NEGATIVE
this shoe is very classic but way too smalli ordered a my true size and i could barely stick my foot in them i would order a full size up these shoes had to go back,size,POSITIVE
this shoe is very classic but way too smalli ordered a my true size and i could barely stick my foot in them i would order a full size up these shoes had to go back,shoe,POSITIVE
i may be expecting to much for the price but i was very disappointed in the quality to me they look cheap and feel i get much better quality at the department stores when they have sales for the same price i would not do it again,price,POSITIVE
i may be expecting to much for the price but i was very disappointed in the quality to me they look cheap and feel i get much better quality at the department stores when they have sales for the same price i would not do it again,quality,POSITIVE
i ordered two baja hoodies for my granddaughter for christmas expecting them to be two different colors unfortunately both items were virtually the same one was supposed to be in blacks and whites but this one should have been more vibrant instead its only black and white as well i understand these vary in color but the item sent should be at least similar to the one pictured i dont know if they will fit as she hasnt received them yet but shell be getting both i will offer an apology to her for the error in color selection by the seller,color,NEGATIVE
i ordered two baja hoodies for my granddaughter for christmas expecting them to be two different colors unfortunately both items were virtually the same one was supposed to be in blacks and whites but this one should have been more vibrant instead its only black and white as well i understand these vary in color but the item sent should be at least similar to the one pictured i dont know if they will fit as she hasnt received them yet but shell be getting both i will offer an apology to her for the error in color selection by the seller,fit,POSITIVE
these boots fit very nicely and look great however the back part of the boot is made in such a way that when you walk the entire foot is forced into the toe bed most uncomfortable and impossible to wear they were returned promptly,fit,POSITIVE
these boots fit very nicely and look great however the back part of the boot is made in such a way that when you walk the entire foot is forced into the toe bed most uncomfortable and impossible to wear they were returned promptly,comfort,NEGATIVE
they are a great way to add support to your feet while walking around the house instead of wearing regular street walking shoes,shoe,POSITIVE
they are a great way to add support to your feet while walking around the house instead of wearing regular street walking shoes,ring,NEGATIVE
for the price i was surprised over all the metal was good but the stones were only fair worth the price tho,price,POSITIVE
tevas are usually a well made sandal that usually run a little wide and are usually adjustable these arent they are very cute but they have made them too narrow and have not allowed for adjustment in the top of the foottoe area i will probably return for a different style of teva sandal,style,POSITIVE
i wont order this products again gave it a tryit arrived week after stated the material is thick yet cheap the quality is not fantastic not a very yoga pant it says there is more lycrathan other brands ive purchased however id actually like to know where did they place it because it does not seem to actually be in the material i use them as pajamas now they are comfy but huge and slouchyi will stick with the other brands they have better quality than this one,quality,NEGATIVE
i wont order this products again gave it a tryit arrived week after stated the material is thick yet cheap the quality is not fantastic not a very yoga pant it says there is more lycrathan other brands ive purchased however id actually like to know where did they place it because it does not seem to actually be in the material i use them as pajamas now they are comfy but huge and slouchyi will stick with the other brands they have better quality than this one,material,NEGATIVE
i bought the superfeet berry to use in my running shoes since i have high aches and the green felt funny in the running shoes i do however prefer the green in my hiking shoesthe superfeet berry works great helps with foot pain and i believe it might be helping me run greater distances since it keeps my aches from becoming tired as fast,shoe,POSITIVE
great earrings for the price needed some new stud earrings after one of my previous ones got lost i figured i would check online to see what they have when i saw the price for these i thought that they must be really cheap looking after reading the reviews i gave them a try and they look great definitely can not tell they were only a couple bucks,price,NEGATIVE
great earrings for the price needed some new stud earrings after one of my previous ones got lost i figured i would check online to see what they have when i saw the price for these i thought that they must be really cheap looking after reading the reviews i gave them a try and they look great definitely can not tell they were only a couple bucks,ring,POSITIVE
kind of a weird shaped design i dont think ill be wearing this and for bucks i wont be going through the hassle of returning it its new home will be in the donation bag,design,NEGATIVE
kind of a weird shaped design i dont think ill be wearing this and for bucks i wont be going through the hassle of returning it its new home will be in the donation bag,ring,NEGATIVE
these did not in any way fit as a narrow shoe i wear a naa they were much too big overallthe quality however looked fine and the colour would be nice for summer,shoe,NEGATIVE
these did not in any way fit as a narrow shoe i wear a naa they were much too big overallthe quality however looked fine and the colour would be nice for summer,fit,NEGATIVE
these did not in any way fit as a narrow shoe i wear a naa they were much too big overallthe quality however looked fine and the colour would be nice for summer,quality,POSITIVE
so i bought this for a client because of her endowment in relation to her petite size she needs to find customised bras this review is for c she was looking for a strapless to use for some of her strapless dress but i guess theres a limit to size and support heh with the straps on she said its fine and comfortable without the straps though she felt it not holding as well maybe if your cup size is smaller maybe a b size this would work well for you,size,NEGATIVE
so i bought this for a client because of her endowment in relation to her petite size she needs to find customised bras this review is for c she was looking for a strapless to use for some of her strapless dress but i guess theres a limit to size and support heh with the straps on she said its fine and comfortable without the straps though she felt it not holding as well maybe if your cup size is smaller maybe a b size this would work well for you,comfort,POSITIVE
a little snug not as i expected adjusting straps didnt really help still a tight fit other wise for ano underwire not bad,fit,NEGATIVE
my second one so far i have no complaints about this bra i like the color i like the lift and i love the price,price,POSITIVE
my second one so far i have no complaints about this bra i like the color i like the lift and i love the price,color,POSITIVE
the sports bra fits nicely its not too tight or loose but the seams on the front are not smooth they are lumpy,fit,POSITIVE
i am female with a small regular acu top i bought this and found it to fit just right it might be a little short if you are taller it sometimes comes out from being tucked in my pants but the acu top covers it it is nice and soft stays that way wash after wash i would buy this again and most likely will,fit,POSITIVE
i would not say its great but its not bad either for this price its definiitely what i expected nothing more nothing less,price,NEGATIVE
stylish is what comes to mind when i wear this easy to put on and take off can be worn with the clasp up or down on the wrist and goes with most any clothing you wear and oh yeah its a perfect fit,fit,POSITIVE
i was really disappointed in this purchase because i though the dress was really cute the waist arms are normal size but the neck hole was so small i couldnt even get my head through the hole,size,NEGATIVE
i returned the product immediately as the shoe runs very small,shoe,NEGATIVE
spacious comfortable and cheap i recommend this bag for mediumweight everyday work and college spaious pockets help in good arrangement of your stuff,comfort,POSITIVE
i have been wearing these for a few weeks now and i love them they are comfortable they dont chafe between my toes and they fit perfectly they look nice too,fit,POSITIVE
